# Mycelium Color Classifier Data
# Collection Parameters:
# Min Voltage: 0.0V
# Max Voltage: 3.5V
# Waveform Duration: 1.5s
# Temporal Jitter Scale: 0.027000000000000014
# Low-Frequency Drift Scale: 0.01
# Reset Delay: 3s
# Trials per Color: 20
# Collection Date: 2025-06-20 01:01:05
# Total Samples:,140

Sample_ID,Voltage_Reading,Color_Label,Temporal_Jitter_Scale,Low-Frequency_Drift_Scale,Reset_Delay,Timestamp
1,0.06372262297625236,RED,0.027000000000000014,0.01,3,20250620_010105
2,0.09356071366104113,RED,0.027000000000000014,0.01,3,20250620_010105
3,0.08237142965424533,RED,0.027000000000000014,0.01,3,20250620_010105
4,0.07864166831864675,RED,0.027000000000000014,0.01,3,20250620_010105
5,0.08237142965424533,RED,0.027000000000000014,0.01,3,20250620_010105
6,0.07491190698304814,RED,0.027000000000000014,0.01,3,20250620_010105
7,0.09356071366104113,RED,0.027000000000000014,0.01,3,20250620_010105
8,0.07118214564744954,RED,0.027000000000000014,0.01,3,20250620_010105
9,0.08983095232544253,RED,0.027000000000000014,0.01,3,20250620_010105
10,0.07864166831864675,RED,0.027000000000000014,0.01,3,20250620_010105
11,0.07491190698304814,RED,0.027000000000000014,0.01,3,20250620_010105
12,0.07864166831864675,RED,0.027000000000000014,0.01,3,20250620_010105
13,0.06372262297625236,RED,0.027000000000000014,0.01,3,20250620_010105
14,0.07491190698304814,RED,0.027000000000000014,0.01,3,20250620_010105
15,0.05999286164065376,RED,0.027000000000000014,0.01,3,20250620_010105
16,0.07118214564744954,RED,0.027000000000000014,0.01,3,20250620_010105
17,0.06745238431185095,RED,0.027000000000000014,0.01,3,20250620_010105
18,0.08237142965424533,RED,0.027000000000000014,0.01,3,20250620_010105
19,0.07864166831864675,RED,0.027000000000000014,0.01,3,20250620_010105
20,0.07118214564744954,RED,0.027000000000000014,0.01,3,20250620_010105
21,0.06372262297625236,ORANGE,0.027000000000000014,0.01,3,20250620_010105
22,0.08610119098984392,ORANGE,0.027000000000000014,0.01,3,20250620_010105
23,0.08610119098984392,ORANGE,0.027000000000000014,0.01,3,20250620_010105
24,0.06745238431185095,ORANGE,0.027000000000000014,0.01,3,20250620_010105
25,0.05253333896945657,ORANGE,0.027000000000000014,0.01,3,20250620_010105
26,0.08610119098984392,ORANGE,0.027000000000000014,0.01,3,20250620_010105
27,0.07491190698304814,ORANGE,0.027000000000000014,0.01,3,20250620_010105
28,0.07491190698304814,ORANGE,0.027000000000000014,0.01,3,20250620_010105
29,0.06745238431185095,ORANGE,0.027000000000000014,0.01,3,20250620_010105
30,0.08237142965424533,ORANGE,0.027000000000000014,0.01,3,20250620_010105
31,0.08610119098984392,ORANGE,0.027000000000000014,0.01,3,20250620_010105
32,0.07118214564744954,ORANGE,0.027000000000000014,0.01,3,20250620_010105
33,0.07491190698304814,ORANGE,0.027000000000000014,0.01,3,20250620_010105
34,0.06372262297625236,ORANGE,0.027000000000000014,0.01,3,20250620_010105
35,0.07491190698304814,ORANGE,0.027000000000000014,0.01,3,20250620_010105
36,0.07491190698304814,ORANGE,0.027000000000000014,0.01,3,20250620_010105
37,0.07118214564744954,ORANGE,0.027000000000000014,0.01,3,20250620_010105
38,0.07118214564744954,ORANGE,0.027000000000000014,0.01,3,20250620_010105
39,0.07491190698304814,ORANGE,0.027000000000000014,0.01,3,20250620_010105
40,0.08237142965424533,ORANGE,0.027000000000000014,0.01,3,20250620_010105
41,0.07864166831864675,YELLOW,0.027000000000000014,0.01,3,20250620_010105
42,0.06372262297625236,YELLOW,0.027000000000000014,0.01,3,20250620_010105
43,0.05999286164065376,YELLOW,0.027000000000000014,0.01,3,20250620_010105
44,0.06745238431185095,YELLOW,0.027000000000000014,0.01,3,20250620_010105
45,0.06745238431185095,YELLOW,0.027000000000000014,0.01,3,20250620_010105
46,0.05999286164065376,YELLOW,0.027000000000000014,0.01,3,20250620_010105
47,0.06745238431185095,YELLOW,0.027000000000000014,0.01,3,20250620_010105
48,0.08237142965424533,YELLOW,0.027000000000000014,0.01,3,20250620_010105
49,0.08237142965424533,YELLOW,0.027000000000000014,0.01,3,20250620_010105
50,0.08610119098984392,YELLOW,0.027000000000000014,0.01,3,20250620_010105
51,0.08610119098984392,YELLOW,0.027000000000000014,0.01,3,20250620_010105
52,0.05999286164065376,YELLOW,0.027000000000000014,0.01,3,20250620_010105
53,0.07118214564744954,YELLOW,0.027000000000000014,0.01,3,20250620_010105
54,0.048803577633857974,YELLOW,0.027000000000000014,0.01,3,20250620_010105
55,0.06745238431185095,YELLOW,0.027000000000000014,0.01,3,20250620_010105
56,0.08237142965424533,YELLOW,0.027000000000000014,0.01,3,20250620_010105
57,0.07118214564744954,YELLOW,0.027000000000000014,0.01,3,20250620_010105
58,0.07118214564744954,YELLOW,0.027000000000000014,0.01,3,20250620_010105
59,0.07118214564744954,YELLOW,0.027000000000000014,0.01,3,20250620_010105
60,0.06745238431185095,YELLOW,0.027000000000000014,0.01,3,20250620_010105
61,0.06745238431185095,GREEN,0.027000000000000014,0.01,3,20250620_010105
62,0.07118214564744954,GREEN,0.027000000000000014,0.01,3,20250620_010105
63,0.08237142965424533,GREEN,0.027000000000000014,0.01,3,20250620_010105
64,0.07118214564744954,GREEN,0.027000000000000014,0.01,3,20250620_010105
65,0.05999286164065376,GREEN,0.027000000000000014,0.01,3,20250620_010105
66,0.07864166831864675,GREEN,0.027000000000000014,0.01,3,20250620_010105
67,0.07864166831864675,GREEN,0.027000000000000014,0.01,3,20250620_010105
68,0.06745238431185095,GREEN,0.027000000000000014,0.01,3,20250620_010105
69,0.07864166831864675,GREEN,0.027000000000000014,0.01,3,20250620_010105
70,0.09729047499663972,GREEN,0.027000000000000014,0.01,3,20250620_010105
71,0.07491190698304814,GREEN,0.027000000000000014,0.01,3,20250620_010105
72,0.048803577633857974,GREEN,0.027000000000000014,0.01,3,20250620_010105
73,0.08983095232544253,GREEN,0.027000000000000014,0.01,3,20250620_010105
74,0.07118214564744954,GREEN,0.027000000000000014,0.01,3,20250620_010105
75,0.07118214564744954,GREEN,0.027000000000000014,0.01,3,20250620_010105
76,0.07491190698304814,GREEN,0.027000000000000014,0.01,3,20250620_010105
77,0.06372262297625236,GREEN,0.027000000000000014,0.01,3,20250620_010105
78,0.08983095232544253,GREEN,0.027000000000000014,0.01,3,20250620_010105
79,0.07491190698304814,GREEN,0.027000000000000014,0.01,3,20250620_010105
80,0.07864166831864675,GREEN,0.027000000000000014,0.01,3,20250620_010105
81,0.06745238431185095,BLUE,0.027000000000000014,0.01,3,20250620_010105
82,0.06372262297625236,BLUE,0.027000000000000014,0.01,3,20250620_010105
83,0.05999286164065376,BLUE,0.027000000000000014,0.01,3,20250620_010105
84,0.08983095232544253,BLUE,0.027000000000000014,0.01,3,20250620_010105
85,0.05999286164065376,BLUE,0.027000000000000014,0.01,3,20250620_010105
86,0.07864166831864675,BLUE,0.027000000000000014,0.01,3,20250620_010105
87,0.06745238431185095,BLUE,0.027000000000000014,0.01,3,20250620_010105
88,0.06372262297625236,BLUE,0.027000000000000014,0.01,3,20250620_010105
89,0.07491190698304814,BLUE,0.027000000000000014,0.01,3,20250620_010105
90,0.05999286164065376,BLUE,0.027000000000000014,0.01,3,20250620_010105
91,0.07491190698304814,BLUE,0.027000000000000014,0.01,3,20250620_010105
92,0.07491190698304814,BLUE,0.027000000000000014,0.01,3,20250620_010105
93,0.09729047499663972,BLUE,0.027000000000000014,0.01,3,20250620_010105
94,0.06745238431185095,BLUE,0.027000000000000014,0.01,3,20250620_010105
95,0.07118214564744954,BLUE,0.027000000000000014,0.01,3,20250620_010105
96,0.06372262297625236,BLUE,0.027000000000000014,0.01,3,20250620_010105
97,0.056263100305055165,BLUE,0.027000000000000014,0.01,3,20250620_010105
98,0.07118214564744954,BLUE,0.027000000000000014,0.01,3,20250620_010105
99,0.08610119098984392,BLUE,0.027000000000000014,0.01,3,20250620_010105
100,0.09356071366104113,BLUE,0.027000000000000014,0.01,3,20250620_010105
101,0.08983095232544253,INDIGO,0.027000000000000014,0.01,3,20250620_010105
102,0.05999286164065376,INDIGO,0.027000000000000014,0.01,3,20250620_010105
103,0.056263100305055165,INDIGO,0.027000000000000014,0.01,3,20250620_010105
104,0.08237142965424533,INDIGO,0.027000000000000014,0.01,3,20250620_010105
105,0.056263100305055165,INDIGO,0.027000000000000014,0.01,3,20250620_010105
106,0.05999286164065376,INDIGO,0.027000000000000014,0.01,3,20250620_010105
107,0.06745238431185095,INDIGO,0.027000000000000014,0.01,3,20250620_010105
108,0.08237142965424533,INDIGO,0.027000000000000014,0.01,3,20250620_010105
109,0.08237142965424533,INDIGO,0.027000000000000014,0.01,3,20250620_010105
110,0.07118214564744954,INDIGO,0.027000000000000014,0.01,3,20250620_010105
111,0.07491190698304814,INDIGO,0.027000000000000014,0.01,3,20250620_010105
112,0.08983095232544253,INDIGO,0.027000000000000014,0.01,3,20250620_010105
113,0.06745238431185095,INDIGO,0.027000000000000014,0.01,3,20250620_010105
114,0.056263100305055165,INDIGO,0.027000000000000014,0.01,3,20250620_010105
115,0.07491190698304814,INDIGO,0.027000000000000014,0.01,3,20250620_010105
116,0.08983095232544253,INDIGO,0.027000000000000014,0.01,3,20250620_010105
117,0.07864166831864675,INDIGO,0.027000000000000014,0.01,3,20250620_010105
118,0.08610119098984392,INDIGO,0.027000000000000014,0.01,3,20250620_010105
119,0.08610119098984392,INDIGO,0.027000000000000014,0.01,3,20250620_010105
120,0.08983095232544253,INDIGO,0.027000000000000014,0.01,3,20250620_010105
121,0.06745238431185095,VIOLET,0.027000000000000014,0.01,3,20250620_010105
122,0.07864166831864675,VIOLET,0.027000000000000014,0.01,3,20250620_010105
123,0.07864166831864675,VIOLET,0.027000000000000014,0.01,3,20250620_010105
124,0.07864166831864675,VIOLET,0.027000000000000014,0.01,3,20250620_010105
125,0.08610119098984392,VIOLET,0.027000000000000014,0.01,3,20250620_010105
126,0.07118214564744954,VIOLET,0.027000000000000014,0.01,3,20250620_010105
127,0.07491190698304814,VIOLET,0.027000000000000014,0.01,3,20250620_010105
128,0.07864166831864675,VIOLET,0.027000000000000014,0.01,3,20250620_010105
129,0.05253333896945657,VIOLET,0.027000000000000014,0.01,3,20250620_010105
130,0.08610119098984392,VIOLET,0.027000000000000014,0.01,3,20250620_010105
131,0.06745238431185095,VIOLET,0.027000000000000014,0.01,3,20250620_010105
132,0.07864166831864675,VIOLET,0.027000000000000014,0.01,3,20250620_010105
133,0.06372262297625236,VIOLET,0.027000000000000014,0.01,3,20250620_010105
134,0.06372262297625236,VIOLET,0.027000000000000014,0.01,3,20250620_010105
135,0.08610119098984392,VIOLET,0.027000000000000014,0.01,3,20250620_010105
136,0.07864166831864675,VIOLET,0.027000000000000014,0.01,3,20250620_010105
137,0.07118214564744954,VIOLET,0.027000000000000014,0.01,3,20250620_010105
138,0.07118214564744954,VIOLET,0.027000000000000014,0.01,3,20250620_010105
139,0.056263100305055165,VIOLET,0.027000000000000014,0.01,3,20250620_010105
140,0.08610119098984392,VIOLET,0.027000000000000014,0.01,3,20250620_010105
